Value	Count	percent_new	Percent
1	1218	3.812564560052587	3.812564560052587
2	1061	3.3211256142986825	3.3211256142986825
3	1174	3.674836447866779	3.674836447866779
4	1315	4.116192443734936	4.116192443734936
5	1137	3.559019626255987	3.559019626255987
6	1096	3.4306820671737563	3.4306820671737563
7	985	3.083231602341378	3.083231602341378
8	984	3.080101417973519	3.080101417973519
9	887	2.7764735342911697	2.7764735342911697
10	1005	3.1458352896985633	3.1458352896985633
11	817	2.557360628541021	2.557360628541021
12	947	2.964284596362726	2.964284596362726
13	999	3.1270541834914076	3.1270541834914076
14	768	2.403981594515917	2.403981594515917
15	722	2.2599931135943905	2.2599931135943905
16	863	2.7013491094625475	2.7013491094625475
17	697	2.181738504397909	2.181738504397909
18	602	1.8843709894512788	1.8843709894512788
19	744	2.3288571696872946	2.3288571696872946
20	577	1.806116380254797	1.806116380254797
21	541	1.6934297430118632	1.6934297430118632
22	628	1.9657557830156196	1.9657557830156196
23	487	1.5243997871474628	1.5243997871474628
24	490	1.5337903402510409	1.5337903402510409
25	573	1.7935956427833597	1.7935956427833597
26	476	1.489967759101011	1.489967759101011
27	436	1.3647603843866403	1.3647603843866403
28	417	1.3052868813973142	1.3052868813973142
29	398	1.2458133784079883	1.2458133784079883
30	343	1.0736532381757287	1.0736532381757287
31	337	1.054872131968573	1.054872131968573
32	348	1.0893041600150248	1.0893041600150248
33	312	0.9766175227720914	0.9766175227720914
34	280	0.8764516230005946	0.8764516230005946
35	306	0.9578364165649356	0.9578364165649356
36	266	0.8326290418505651	0.8326290418505651
37	258	0.8075875669076908	0.8075875669076908
38	297	0.9296647572542023	0.9296647572542023
39	211	0.6604689016183054	0.6604689016183054
40	217	0.679250007825461	0.679250007825461
41	234	0.7324631420790684	0.7324631420790684
42	193	0.6041255829968385	0.6041255829968385
43	227	0.7105518515040536	0.7105518515040536
44	191	0.5978652142611199	0.5978652142611199
45	175	0.5477822643753717	0.5477822643753717
46	197	0.6166463204682756	0.6166463204682756
47	150	0.46952765517889	0.46952765517889
48	156	0.4883087613860457	0.4883087613860457
49	170	0.5321313425360754	0.5321313425360754
50	145	0.45387673333959366	0.45387673333959366
51	158	0.4945691301217641	0.4945691301217641
52	147	0.4601371020753122	0.4601371020753122
53	136	0.4257050740288603	0.4257050740288603
54	108	0.3380599117288008	0.3380599117288008
55	96	0.3004976993144896	0.3004976993144896
56	124	0.3881428616145491	0.3881428616145491
57	114	0.3568410179359564	0.3568410179359564
58	126	0.39440323035026764	0.39440323035026764
59	97	0.3036278836823489	0.3036278836823489
60	105	0.328669358625223	0.328669358625223
61	94	0.2942373305787711	0.2942373305787711
62	88	0.2754562243716155	0.2754562243716155
63	95	0.2973675149466304	0.2973675149466304
64	89	0.27858640873947477	0.27858640873947477
65	70	0.21911290575014866	0.21911290575014866
66	79	0.24728456506088206	0.24728456506088206
67	74	0.23163364322158578	0.23163364322158578
68	61	0.1909412464394153	0.1909412464394153
69	69	0.21598272138228944	0.21598272138228944
70	69	0.21598272138228944	0.21598272138228944
71	59	0.18468087770369673	0.18468087770369673
72	62	0.19407143080727454	0.19407143080727454
73	69	0.21598272138228944	0.21598272138228944
74	42	0.13146774345008921	0.13146774345008921
75	63	0.19720161517513382	0.19720161517513382
76	65	0.20346198391085235	0.20346198391085235
77	45	0.14085829655366702	0.14085829655366702
78	47	0.14711866528938555	0.14711866528938555
79	40	0.12520737471437068	0.12520737471437068
80	31	0.09703571540363727	0.09703571540363727
81	50	0.15650921839296333	0.15650921839296333
82	34	0.10642626850721508	0.10642626850721508
83	46	0.14398848092152627	0.14398848092152627
84	42	0.13146774345008921	0.13146774345008921
85	42	0.13146774345008921	0.13146774345008921
86	43	0.1345979278179485	0.1345979278179485
87	43	0.1345979278179485	0.1345979278179485
88	40	0.12520737471437068	0.12520737471437068
89	32	0.10016589977149655	0.10016589977149655
90	44	0.13772811218580774	0.13772811218580774
91	38	0.11894700597865214	0.11894700597865214
92	25	0.07825460919648167	0.07825460919648167
93	22	0.06886405609290387	0.06886405609290387
