Value	Count	percent_new	Percent
172	1	0.003130184367859267	0.003130184367859267
173	3	0.0093905531035778	0.0093905531035778
174	1	0.003130184367859267	0.003130184367859267
175	3	0.0093905531035778	0.0093905531035778
176	2	0.006260368735718534	0.006260368735718534
177	1	0.003130184367859267	0.003130184367859267
178	2	0.006260368735718534	0.006260368735718534
179	1	0.003130184367859267	0.003130184367859267
180	2	0.006260368735718534	0.006260368735718534
181	2	0.006260368735718534	0.006260368735718534
182	1	0.003130184367859267	0.003130184367859267
183	2	0.006260368735718534	0.006260368735718534
184	3	0.0093905531035778	0.0093905531035778
185	1	0.003130184367859267	0.003130184367859267
186	2	0.006260368735718534	0.006260368735718534
187	1	0.003130184367859267	0.003130184367859267
188	3	0.0093905531035778	0.0093905531035778
190	1	0.003130184367859267	0.003130184367859267
192	4	0.012520737471437069	0.012520737471437069
193	3	0.0093905531035778	0.0093905531035778
194	1	0.003130184367859267	0.003130184367859267
195	2	0.006260368735718534	0.006260368735718534
197	1	0.003130184367859267	0.003130184367859267
198	3	0.0093905531035778	0.0093905531035778
199	3	0.0093905531035778	0.0093905531035778
200	1	0.003130184367859267	0.003130184367859267
202	2	0.006260368735718534	0.006260368735718534
203	2	0.006260368735718534	0.006260368735718534
204	2	0.006260368735718534	0.006260368735718534
205	1	0.003130184367859267	0.003130184367859267
206	1	0.003130184367859267	0.003130184367859267
207	3	0.0093905531035778	0.0093905531035778
208	4	0.012520737471437069	0.012520737471437069
209	4	0.012520737471437069	0.012520737471437069
210	1	0.003130184367859267	0.003130184367859267
211	1	0.003130184367859267	0.003130184367859267
213	3	0.0093905531035778	0.0093905531035778
215	2	0.006260368735718534	0.006260368735718534
216	1	0.003130184367859267	0.003130184367859267
219	1	0.003130184367859267	0.003130184367859267
220	4	0.012520737471437069	0.012520737471437069
226	1	0.003130184367859267	0.003130184367859267
230	1	0.003130184367859267	0.003130184367859267
231	2	0.006260368735718534	0.006260368735718534
232	1	0.003130184367859267	0.003130184367859267
233	1	0.003130184367859267	0.003130184367859267
235	1	0.003130184367859267	0.003130184367859267
237	1	0.003130184367859267	0.003130184367859267
238	2	0.006260368735718534	0.006260368735718534
239	1	0.003130184367859267	0.003130184367859267
243	2	0.006260368735718534	0.006260368735718534
244	1	0.003130184367859267	0.003130184367859267
248	3	0.0093905531035778	0.0093905531035778
254	1	0.003130184367859267	0.003130184367859267
257	1	0.003130184367859267	0.003130184367859267
263	1	0.003130184367859267	0.003130184367859267
274	1	0.003130184367859267	0.003130184367859267
278	1	0.003130184367859267	0.003130184367859267
285	1	0.003130184367859267	0.003130184367859267
286	1	0.003130184367859267	0.003130184367859267
292	1	0.003130184367859267	0.003130184367859267
294	2	0.006260368735718534	0.006260368735718534
297	1	0.003130184367859267	0.003130184367859267
298	1	0.003130184367859267	0.003130184367859267
315	1	0.003130184367859267	0.003130184367859267
320	1	0.003130184367859267	0.003130184367859267
323	1	0.003130184367859267	0.003130184367859267
346	1	0.003130184367859267	0.003130184367859267
355	1	0.003130184367859267	0.003130184367859267
363	1	0.003130184367859267	0.003130184367859267
368	1	0.003130184367859267	0.003130184367859267
379	1	0.003130184367859267	0.003130184367859267
400	1	0.003130184367859267	0.003130184367859267
413	1	0.003130184367859267	0.003130184367859267
427	1	0.003130184367859267	0.003130184367859267
445	1	0.003130184367859267	0.003130184367859267
504	1	0.003130184367859267	0.003130184367859267
886	1	0.003130184367859267	0.003130184367859267
